 D lon lat flux5 flux8 X Y Z MirX MirY MirZ TI objid r delta alpha D_NEATM D_true model eta etafit
12 1.0 346.2671496572666 2.7727821296966795 6007.0 33574.0 0.7362631968424374 -0.3542824961102426 -0.18901747485263637 -0.18662167071602567 -0.050525658206721134 -0.05795292180192941 0 1 0.8386460444516607 0.20183912223214723 129.88632506801548 0.482 1 FRM 1.0 0
13 1.0 158.2462077158927 -7.8197661272886165 6084.0 33789.0 0.7362631968424374 -0.3542824961102426 -0.18901747485263637 -0.18662167071602567 -0.050525658206721134 -0.05795292180192941 0 1 0.8386460444516607 0.20183912223214723 129.88632506801548 0.483 1 FRM 1.0 0
14 1.0 257.00508396637406 54.455304128647356 6070.0 34085.0 0.7362631968424374 -0.3542824961102426 -0.18901747485263637 -0.18662167071602567 -0.050525658206721134 -0.05795292180192941 0 1 0.8386460444516607 0.20183912223214723 129.88632506801548 0.485 1 FRM 1.0 0
15 1.0 116.56012859921046 -29.090034774222246 6128.0 34136.0 0.7362631968424374 -0.3542824961102426 -0.18901747485263637 -0.18662167071602567 -0.050525658206721134 -0.05795292180192941 0 1 0.8386460444516607 0.20183912223214723 129.88632506801548 0.485 1 FRM 1.0 0
16 1.0 17.998497115202127 70.21471050165985 6097.0 33979.0 0.7362631968424374 -0.3542824961102426 -0.18901747485263637 -0.18662167071602567 -0.050525658206721134 -0.05795292180192941 0 1 0.8386460444516607 0.20183912223214723 129.88632506801548 0.484 1 FRM 1.0 0
17 1.0 224.066932591269 12.708301391422395 6078.0 34113.0 0.7362631968424374 -0.3542824961102426 -0.18901747485263637 -0.18662167071602567 -0.050525658206721134 -0.05795292180192941 0 1 0.8386460444516607 0.20183912223214723 129.88632506801548 0.485 1 FRM 1.0 0
18 1.0 144.53396785090484 46.870860811908756 6196.0 34475.0 0.7362631968424374 -0.3542824961102426 -0.18901747485263637 -0.18662167071602567 -0.050525658206721134 -0.05795292180192941 0 1 0.8386460444516607 0.20183912223214723 129.88632506801548 0.487 1 FRM 1.0 0
19 1.0 4.562473309012454 8.714779754649186 6099.0 33823.0 0.7362631968424374 -0.3542824961102426 -0.18901747485263637 -0.18662167071602567 -0.050525658206721134 -0.05795292180192941 0 1 0.8386460444516607 0.20183912223214723 129.88632506801548 0.484 1 FRM 1.0 0
20 1.0 82.60164159864155 62.24599085848311 6064.0 33744.0 0.7362631968424374 -0.3542824961102426 -0.18901747485263637 -0.18662167071602567 -0.050525658206721134 -0.05795292180192941 0 1 0.8386460444516607 0.20183912223214723 129.88632506801548 0.483 1 FRM 1.0 0
21 1.0 153.5595717751966 66.14514888265012 6048.0 33886.0 0.7362631968424374 -0.3542824961102426 -0.18901747485263637 -0.18662167071602567 -0.050525658206721134 -0.05795292180192941 0 1 0.8386460444516607 0.20183912223214723 129.88632506801548 0.484 1 FRM 1.0 0
